state,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AL,-0.051613333333333324,-0.02271666666666667,-0.002245454545454547,-0.007254054054054059,0.012900000000000005,-0.050924324324324324,-0.027522500000000005,0.03306153846153846,-0.02947631578947367,0.03275675675675675,-0.01614102564102564,0.03503333333333335,-0.01780322580645163,0.005362499999999978,-0.037125806451612876,0.01945666666666667,0.010233333333333343,0.002276666666666664,0.08262333333333333,0.0015775489020325082
AZ,-0.06309999999999999,0.01004074074074075,-0.038735714285714304,0.04125,-0.01821923076923076,0.041981249999999984,0.005836666666666671,-0.009196774193548406,-0.02528421052631577,0.10239999999999999,0.018945454545454526,0.03291538461538464,-0.01707894736842104,-0.11049166666666667,0.026509090909090902,0.01850434782608695,0.09683461538461544,-0.04933600000000005,0.09057499999999999,0.04336780880134804
AR,0.027704000000000003,-0.07304347826086958,-0.06041428571428571,0.0229238095238095,0.03981818181818183,-0.042824,0.028254166666666653,-0.014933333333333331,-0.008334782608695636,-0.005629166666666678,0.011129166666666681,-0.021245454545454553,0.04407391304347826,-0.0028739130434782606,-0.001589473684210512,0.02347368421052631,-0.01732631578947368,-0.042661111111111115,0.015158823529411765,-0.047584991992103164
TN,-0.00538846153846154,-0.023220689655172422,-0.011256896551724127,-0.015438983050847462,0.01594285714285715,-0.012444444444444445,0.010273529411764707,-0.009306349206349205,-0.009484745762711851,0.04534107142857143,-0.018461016949152562,0.035300000000000005,-0.009827450980392153,0.007219148936170201,0.023360465116279084,-0.0194829268292683,0.02495641025641026,0.010930952380952381,-0.009458536585365863,-0.04103459355881903
CA,-0.06454220779220779,0.021455978260869566,-0.034796385542168684,-0.029953804347826084,0.0025782122905027884,0.0038144444444444476,0.023852688172043012,0.008176562500000003,-0.03308311688311689,0.019525324675324668,0.03997797619047618,0.008658169934640525,0.005724657534246579,-0.012085714285714285,0.0028560283687943276,0.009179720279720293,0.023875539568345316,0.010213178294573655,0.011813138686131394,-0.020660605502740684
CO,-0.041618181818181804,-0.00343513513513513,-0.03819714285714285,0.01277058823529411,-0.009254285714285725,-0.030865789473684208,-0.028159999999999998,0.00955405405405405,-0.004137931034482743,0.05297777777777776,0.03289677419354839,0.025686956521739145,0.033091999999999996,-0.018866666666666684,-0.023495238095238104,0.03520000000000002,-0.026676190476190482,-0.00563913043478261,0.017830434782608696,0.05215990786663727
CT,-0.03093125000000003,-0.0423972222222222,-0.018658333333333332,0.021028571428571428,-0.027683333333333334,-0.010409677419354847,0.03060322580645161,0.02638,0.024092307692307684,0.029106896551724135,-0.05228571428571427,0.03050714285714286,-0.027527999999999993,0.030370833333333347,-0.023216666666666677,0.05193199999999999,-0.011395999999999996,0.030667999999999997,0.041825,0.00884999795770921
DE,-0.034914285714285724,-0.00457142857142856,-0.006114285714285715,0.025828571428571423,-0.028700000000000003,-0.0029999999999999866,0.0185,-0.02618333333333331,0.005799999999999954,-0.05609999999999999,0.024466666666666675,0.0009666666666666804,-0.02293333333333335,0.04544999999999999,0.03568,-0.018959999999999977,0.012640000000000007,0.013919999999999978,-0.06119999999999998,0.1690094890702749
DC,-0.013112500000000017,-0.0066888888888888675,0.025244444444444444,-0.014944444444444448,-0.011477777777777781,0.02568888888888889,-0.035133333333333336,-0.020811111111111103,-0.016377777777777776,-0.04571111111111112,0.0004499999999999921,-0.042462499999999986,0.0929142857142857,-0.004528571428571422,-0.050128571428571425,0.008037499999999993,-0.010024999999999978,-0.00737500000000001,0.005262500000000007,0.04151826547101444
FL,-0.08161445783132532,0.0049861386138613855,-0.0032875000000000022,-0.010191578947368421,0.03677499999999999,-0.06271016949152541,-0.0440393442622951,0.10132314049586777,-0.046944339622641496,0.06640199999999999,0.023421698113207542,-0.009751515151515141,-0.08410212765957448,0.00484225352112675,0.005904545454545454,0.02632714285714286,0.0010685714285714274,-0.010013235294117653,0.027363076923076927,0.01076005126012917
MI,-0.042603448275862085,0.01145735294117647,-0.04008823529411766,0.017749275362318847,-0.02659558823529411,-0.01776363636363638,0.003885333333333336,-0.014320987654320987,0.0005446153846153776,0.05869508196721312,0.00767222222222221,-0.020613846153846135,0.004259999999999997,-0.00685606060606062,-0.023708771929824554,-0.016685964912280686,0.03498813559322034,-0.017824242424242413,0.0016292307692307487,0.03502376088795953
GA,-0.0033636363636363733,-0.0383972972972973,-0.016954666666666663,-0.008737037037037034,0.0013307692307692272,-0.03709090909090909,0.007141333333333325,-0.009104347826086955,0.006182812499999995,0.04387619047619047,-0.01090746268656717,-0.0010049999999999985,0.02194310344827587,-0.000507272727272736,0.0037444444444444465,0.0059648148148148195,0.019516981132075468,0.0034618181818181844,0.054378181818181805,-0.014405259086976926
ID,0.04721249999999999,-0.03043750000000002,0.001366666666666655,-0.024883333333333323,-0.00156666666666667,-0.021074999999999997,0.02085,0.09045714285714287,-0.07841666666666668,0.06305714285714284,0.017322222222222225,0.03698749999999999,0.010985714285714281,-0.037680000000000005,0.03746250000000001,-0.04905714285714286,0.02272857142857143,0.017271428571428556,-0.021928571428571415,-0.05040665066415142
IL,-0.027054216867469876,0.0017478260869565193,-0.018879999999999984,0.004804255319148949,0.010860606060606052,-0.007793939393939389,-0.03074591836734694,0.013603448275862063,-0.0021337662337662325,0.010071428571428571,-0.008695294117647061,0.0028556962025316403,0.0011266666666666742,-0.012604000000000013,0.012647142857142857,-0.002130434782608695,-0.00013333333333333548,0.0008242424242424281,0.027122950819672132,0.053004741527582416
IN,-0.04396875,0.047836363636363656,-0.05872500000000001,0.030023880597014947,-0.009480303030303033,-0.006798666666666674,-0.014654666666666663,-0.017891549295774654,-0.021013636363636342,0.05455606060606059,0.019567741935483877,0.02588571428571429,-0.008825862068965521,-0.009853571428571442,0.01315000000000001,0.01028363636363636,0.0004436363636363602,0.005086206896551746,0.025799999999999976,0.02409398015298108
IA,-0.001990243902439019,-0.020689130434782613,-0.024720930232558145,0.005177500000000012,-0.015073684210526316,-0.0187,0.007644736842105257,0.0139578947368421,-0.05727941176470588,0.026520000000000005,0.0038166666666666718,0.021097142857142853,-0.009379411764705881,-0.0034303030303030327,-0.0186258064516129,0.012025806451612898,0.02300689655172414,0.001224137931034479,0.029416666666666667,0.034434945336576546
