state,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AL,11.235294117647058,-15.631578947368421,12.227272727272727,5.310344827586207,-7.064516129032258,5.096774193548387,-3.71875,17.103448275862068,9.344827586206897,-2.4482758620689653,6.142857142857143,5.214285714285714,13.222222222222221,2.4074074074074074,-11.137931034482758,76.18518518518519,9.333333333333334,-7.925925925925926,2.9583333333333335,-7.681818181818182
AZ,4.0,-5.625,2.75,-3.75,-8.875,-1.0,-11.0,4.0,-6.666666666666667,16.333333333333332,-3.2857142857142856,5.833333333333333,8.142857142857142,3.25,-4.0,66.75,8.727272727272727,-5.25,2.7142857142857144,-11.8
AR,-3.7058823529411766,-12.1,-5.277777777777778,6.578947368421052,1.1,2.4,2.55,19.05,-5.1,8.954545454545455,-9.25,5.2631578947368425,-2.888888888888889,2.0588235294117645,-4.0,72.4375,2.875,0.0625,-5.466666666666667,-10.153846153846153
TN,-3.3421052631578947,8.875,-2.5576923076923075,2.3962264150943398,12.557692307692308,1.7692307692307692,6.636363636363637,0.7142857142857143,-8.314814814814815,3.28,2.0638297872340425,0.6382978723404256,8.452380952380953,-2.810810810810811,-3.5526315789473686,73.70270270270271,19.61111111111111,-4.117647058823529,-10.264705882352942,7.32258064516129
CA,1.618421052631579,2.3452380952380953,3.0864197530864197,6.166666666666667,-7.348314606741573,-0.4588235294117647,-1.869047619047619,-0.9302325581395349,8.703296703296703,1.0,0.5777777777777777,1.1379310344827587,1.3461538461538463,2.3417721518987342,-1.5769230769230769,68.75324675324676,5.282051282051282,0.875,-7.632352941176471,39.72727272727273
CO,6.444444444444445,4.294117647058823,3.1176470588235294,9.88888888888889,-3.0526315789473686,-7.055555555555555,18.333333333333332,5.833333333333333,5.882352941176471,3.823529411764706,-2.0,1.75,1.2666666666666666,3.533333333333333,3.466666666666667,66.53333333333333,-12.533333333333333,-0.06666666666666667,-5.785714285714286,16.785714285714285
CT,-4.555555555555555,12.666666666666666,6.826086956521739,11.727272727272727,-15.318181818181818,-3.590909090909091,4.304347826086956,-0.21739130434782608,2.347826086956522,-0.8571428571428571,6.1,-2.9444444444444446,2.3333333333333335,5.933333333333334,-6.6875,59.53333333333333,11.411764705882353,-3.235294117647059,-8.0,33.0
DE,30.25,-9.2,2.0,0.5,-1.75,-1.4,10.25,-12.25,4.25,0.5,-9.75,14.5,7.5,-1.5,-9.333333333333334,57.666666666666664,19.666666666666668,-0.3333333333333333,-6.333333333333333,6.0
DC,15.666666666666666,-9.0,7.428571428571429,8.142857142857142,0.2857142857142857,-9.571428571428571,5.857142857142857,6.714285714285714,-1.7142857142857142,-5.0,1.8333333333333333,-0.3333333333333333,9.0,6.6,0.6,59.0,14.6,-2.2,-5.6,25.6
FL,-0.84375,5.088235294117647,4.052631578947368,8.153846153846153,1.853658536585366,-14.179487179487179,15.078947368421053,-6.7631578947368425,7.162790697674419,3.1363636363636362,1.3409090909090908,0.5681818181818182,9.097560975609756,-3.769230769230769,2.625,58.925,20.857142857142858,-1.9743589743589745,-3.2058823529411766,-4.454545454545454
GA,9.333333333333334,1.4038461538461537,1.3962264150943395,1.3448275862068966,-11.117647058823529,-5.75,-3.4,1.8043478260869565,4.454545454545454,-3.7045454545454546,-3.9782608695652173,2.409090909090909,4.5227272727272725,-2.275,1.9767441860465116,58.2,31.130434782608695,-14.02127659574468,1.3,25.87878787878788
ID,-5.0,14.75,-13.4,-0.16666666666666666,-5.5,2.5,-4.166666666666667,3.5,17.5,-16.666666666666668,7.428571428571429,-24.625,-4.428571428571429,12.666666666666666,6.857142857142857,61.5,10.166666666666666,-15.333333333333334,-13.833333333333334,20.4
IL,2.2051282051282053,5.155555555555556,0.03571428571428571,10.491228070175438,-7.704918032786885,-2.180327868852459,-0.9807692307692307,-1.1568627450980393,-3.8076923076923075,-0.24,4.7,5.313725490196078,3.4,-8.66,-3.215686274509804,73.43137254901961,-4.884615384615385,-3.6530612244897958,-16.595744680851062,10.575
IN,1.1538461538461537,6.365853658536586,2.8444444444444446,0.0425531914893617,-4.3478260869565215,-0.7021276595744681,1.108695652173913,5.545454545454546,2.25,-4.25,1.7727272727272727,6.4222222222222225,-2.022727272727273,-0.8863636363636364,-0.4423076923076923,69.20833333333333,7.653061224489796,3.8,-5.0476190476190474,23.073170731707318
IA,-19.52,10.655172413793103,-3.375,9.96875,2.3333333333333335,-4.666666666666667,19.896551724137932,-1.9642857142857142,-4.3,0.75,0.8214285714285714,3.357142857142857,-5.423076923076923,1.7037037037037037,-0.6666666666666666,70.6896551724138,-1.0,-3.44,-12.952380952380953,6.714285714285714
KS,1.9375,-0.2631578947368421,-3.727272727272727,7.583333333333333,-11.416666666666666,9.37037037037037,-2.375,13.304347826086957,-11.916666666666666,4.08,8.08695652173913,-11.333333333333334,-1.15,-16.0,0.3684210526315789,72.66666666666667,9.08695652173913,-8.652173913043478,-10.588235294117647,-8.714285714285714
KY,3.5,-6.8,18.681818181818183,-1.7916666666666667,2.84,-4.416666666666667,4.2,12.96,5.407407407407407,6.777777777777778,3.111111111111111,4.615384615384615,11.72,2.8333333333333335,1.96,68.28571428571429,14.153846153846153,3.125,-14.391304347826088,5.947368421052632
LA,5.8125,0.17647058823529413,10.5,-2.9375,10.1875,11.88888888888889,-3.263157894736842,15.65,5.9523809523809526,6.454545454545454,7.5,-0.8181818181818182,5.045454545454546,-4.5,23.181818181818183,59.666666666666664,16.545454545454547,-2.88,-11.0,-8.473684210526315
ME,14.363636363636363,1.9230769230769231,27.692307692307693,16.25,-29.818181818181817,-40.416666666666664,25.6,-13.909090909090908,-9.583333333333334,-14.727272727272727,10.818181818181818,9.666666666666666,-3.6666666666666665,18.25,-29.444444444444443,67.375,2.875,8.222222222222221,-1.8333333333333333,36.333333333333336
MD,-8.5,11.1,5.28,3.25,-7.521739130434782,-8.333333333333334,6.6,-15.08,0.5833333333333334,7.083333333333333,4.434782608695652,-0.043478260869565216,-3.611111111111111,-4.684210526315789,3.0,53.7,9.210526315789474,-12.333333333333334,13.692307692307692,21.1
MA,-4.018518518518518,7.648148148148148,7.254237288135593,-3.3833333333333333,-13.721311475409836,-1.1639344262295082,2.7586206896551726,4.3090909090909095,3.3703703703703702,-1.0188679245283019,1.0178571428571428,3.3728813559322033,3.452830188679245,2.5510204081632653,-0.425531914893617,62.53333333333333,6.6,-5.804878048780488,8.461538461538462,38.6
MI,0.8387096774193549,0.16216216216216217,2.1842105263157894,-1.5384615384615385,0.7297297297297297,3.7777777777777777,0.24324324324324326,-0.5263157894736842,7.135135135135135,7.45945945945946,1.837837837837838,-5.2105263157894735,1.9,0.07692307692307693,9.68421052631579,57.189189189189186,-2.4722222222222223,0.0,-2.066666666666667,0.76
MN,-4.424242424242424,11.794117647058824,-15.588235294117647,12.578947368421053,1.25,4.885714285714286,2.0303030303030303,2.8857142857142857,1.4,8.294117647058824,-4.181818181818182,-5.424242424242424,4.46875,-4.32258064516129,-4.483870967741935,65.3,3.0,1.1666666666666667,-10.26923076923077,14.666666666666666
MS,-12.307692307692308,-2.235294117647059,11.882352941176471,-3.0,15.125,-3.6470588235294117,12.666666666666666,-5.733333333333333,-6.2,-3.5,-6.0,4.823529411764706,9.428571428571429,1.7142857142857142,15.0,71.5,12.785714285714286,-3.142857142857143,-2.0,-4.533333333333333
MO,6.794871794871795,10.0,1.9069767441860466,-3.8048780487804876,0.5714285714285714,7.738095238095238,-1.8048780487804879,-4.651162790697675,2.2857142857142856,-1.125,-5.15,3.763157894736842,2.1025641025641026,1.1025641025641026,-9.575,67.475,6.947368421052632,-10.897435897435898,3.4,1.4242424242424243
MT,1.625,-0.1111111111111111,10.333333333333334,3.7142857142857144,9.428571428571429,-4.142857142857143,-14.285714285714286,23.714285714285715,2.5555555555555554,5.625,-2.142857142857143,-4.333333333333333,6.0,13.444444444444445,-11.625,84.0,3.5,-18.142857142857142,3.75,-6.375
NE,-6.538461538461538,-10.642857142857142,13.5625,-8.4375,8.38888888888889,-2.526315789473684,-1.0,-3.210526315789474,5.526315789473684,12.947368421052632,-3.6315789473684212,-1.9444444444444444,-4.0,0.8333333333333334,-2.1666666666666665,64.26315789473684,-7.25,-0.4,2.3636363636363638,-3.8
NV,2.5,-9.666666666666666,18.25,-7.0,-10.0,-11.666666666666666,16.0,-0.3333333333333333,-4.666666666666667,2.0,-1.5,8.0,-1.5,4.0,-17.666666666666668,87.66666666666667,19.0,-9.0,-8.0,6.5
NH,-0.3,8.5,-5.923076923076923,7.0,-14.833333333333334,0.2727272727272727,-0.9,1.6,-10.2,-3.375,5.888888888888889,-2.4,0.0,5.166666666666667,-2.8333333333333335,68.83333333333333,0.0,40.5,-27.333333333333332,14.4
NJ,4.84,7.172413793103448,3.774193548387097,5.933333333333334,-16.428571428571427,-1.3461538461538463,-11.346153846153847,1.0,-0.19230769230769232,-0.07692307692307693,-2.3846153846153846,9.344827586206897,-4.185185185185185,6.24,0.6153846153846154,69.61538461538461,5.833333333333333,11.826086956521738,-17.2,52.25
NM,-4.333333333333333,3.533333333333333,12.625,-10.0,2.823529411764706,-2.4210526315789473,1.7,-1.3529411764705883,-5.125,0.5,3.75,-5.375,6.666666666666667,-3.066666666666667,-4.266666666666667,60.2,15.6875,9.4375,-5.357142857142857,-4.071428571428571
NY,8.811881188118813,7.0,0.7387387387387387,3.8392857142857144,-6.794871794871795,0.25925925925925924,3.36697247706422,1.7522935779816513,3.1682242990654204,-0.23148148148148148,6.743119266055046,-3.790909090909091,-3.03125,6.806818181818182,8.0561797752809,57.810526315789474,12.543478260869565,1.3956043956043955,-1.3707865168539326,42.611111111111114
NC,-3.0,11.979591836734693,-1.94,2.54,0.22,-4.62,-1.7450980392156863,-0.5918367346938775,-3.163265306122449,-3.4693877551020407,5.901960784313726,-4.8,8.11111111111111,-5.844444444444444,8.340425531914894,68.95833333333333,13.0,-1.9183673469387754,-7.355555555555555,27.76923076923077
ND,-7.0,11.166666666666666,-24.833333333333332,-2.4285714285714284,1.1666666666666667,6.5,4.833333333333333,-5.833333333333333,4.166666666666667,2.857142857142857,-6.714285714285714,3.5714285714285716,31.571428571428573,-30.25,19.75,69.33333333333333,4.555555555555555,-2.111111111111111,-5.0,-8.571428571428571
